menu,rating,sentiment,review_text
Latte,3,neutral,"สั่งลาเต้มาเพื่อดู รสชาติเข้มข้นดี แต่ฟองน้ำไม่เข้ากันเท่าที่คิดไว้ ถ้าได้ปรับระดับน้ำตาลและฟองน้ำได้จะดีมาก"
Bubble Tea,5,positive,"The Bubble Tea was fun and delicious, with a great tea flavor and chewy bubbles."
Green Tea,4,positive,"The Green Tea was light and refreshing, with a great subtle flavor. It was the perfect tea to drink on a busy day."
Lemon Tea,3,neutral,"The Lemon Tea was okay, but it was a bit too sour for my taste. Maybe I'll try it again with a bit less lemon."
Strawberry Smoothie,5,positive,"The Strawberry Smoothie was sweet and delicious, with a great strawberry flavor. It was the perfect drink for a sweet treat."
Espresso,4,positive,"The Espresso was strong and rich, with a great flavor. It was the perfect coffee to start my day."
Muffin,3,neutral,"The Muffin was okay, but it was a bit too dry for my taste. Maybe I'll try it again with a bit more moisture."
Nitro Black Tea Lemonade,5,positive,"นี่เป็นเครื่องดื่มที่ฉันชื่นชอบที่สุดในเมนู รสชาติของชาและเลมอนแซบๆ เข้ากันอย่างลงตัว และมี泡ที่น่าสนใจด้วย"
Cappuccino,5,positive,"The Cappuccino here is one of the best I've had. The barista really knows how to create a beautiful design on top, and the flavors are well-balanced."
Iced Americano,2,negative,"The Iced Americano was too weak and lacked flavor. I was expecting a stronger coffee taste, but it was just okay."
Thai Tea,4,positive,"สั่ง Thai Tea มาเพื่อดู รสชาติเข้มข้นดี และมีหอมของชาไทยที่น่าสนใจ"
Mocha,5,positive,"The Mocha here is amazing! The combination of chocolate and coffee is perfect, and the whipped cream on top adds a nice touch. I'm definitely coming back for more."
Croissant,4,positive,"I had the Croissant with my coffee this morning, and it was flaky and buttery. The perfect pastry to start my day."
Iced Latte,2,negative,"I was really looking forward to trying the Iced Latte, but unfortunately, it was too watery and lacked flavor. Maybe I'll try it again another time."
Nitro Flat White,4,positive,"The Nitro Flat White was creamy and smooth, with a great coffee flavor. The nitrogen added a nice texture and made it feel like a special treat."
Espresso Con Panna,5,positive,"The Espresso Con Panna was rich and creamy, just the way I like it. The espresso shot was strong and the whipped cream added a nice smoothness."
Mango Smoothie,3,neutral,"มันสมูทตี้มะม่วงสั่งมาทดลอง รสชาติไพเราะดี แต่ไม่เข้มข้นเท่าที่คิดไว้ ถ้าเพิ่มมะม่วงจริงๆ ลงไปมากกว่านี้จะดีกว่า"
Cappuccino,5,positive,"The Cappuccino here is one of the best I've had. The barista really knows how to create a beautiful design on top, and the flavors are well-balanced."
Donut,2,negative,"I was disappointed with the Donut. It was dry and lacked flavor. Maybe I just got a bad one, but I won't be ordering it again."
Americano,4,positive,"The Americano was strong and full of flavor. I loved the rich aroma and the way it filled my cup."
Cheesecake,5,positive,"The Cheesecake was creamy and delicious, with a great graham cracker crust. I'll definitely be back for another slice."
Black Tea,3,neutral,"สั่งชาดำมาเพื่อดู รสชาติเข้มข้นดี แต่ไม่มีอะไรพิเศษ หรือเป็นเอกลักษณ์ gìที่น่าจดจำ"
Mocha Cold Brew,5,positive,"The Mocha Cold Brew was amazing! The coffee flavor was rich and smooth, and the chocolate added a nice sweetness. I'll be back for more."
Cookie,4,positive,"The Cookie was soft and chewy, just the way I like it. The flavors were well-balanced and it paired perfectly with my coffee."
Iced Americano,2,negative,"The Iced Americano was too weak and lacked flavor. I was expecting a stronger coffee taste, but it was just okay."
Jasmine Tea,5,positive,"The Jasmine Tea was delicate and fragrant, with a beautiful floral scent. It was the perfect tea to relax with."
Nitro Flat White,4,positive,"The Nitro Flat White was creamy and smooth, with a great coffee flavor. The nitrogen added a nice texture and made it feel like a special treat."
Kiwi Smoothie,3,neutral,"มันสมูทตี้กีวีสั่งมาทดลอง รสชาติไพเราะดี แต่ไม่เข้มข้นเท่าที่คิดไว้ ถ้าเพิ่มกีวีจริงๆ ลงไปมากกว่านี้จะดีกว่า"
Watermelon Smoothie,5,positive,"The Watermelon Smoothie was refreshing and delicious, with a great watermelon flavor. It was the perfect drink for a hot day."
Sandwich,4,positive,"The Sandwich was freshly made and delicious, with a great combination of flavors and textures. I'll definitely be back for another one."
Yuzu Tea,5,positive,"The Yuzu Tea was unique and delicious, with a great citrus flavor. It was the perfect tea to try something new and exciting."
Latte,3,neutral,"สั่งลาเต้มาเพื่อดู รสชาติเข้มข้นดี แต่ฟองน้ำไม่เข้ากันเท่าที่คิดไว้ ถ้าได้ปรับระดับน้ำตาลและฟองน้ำได้จะดีมาก"
Bubble Tea,5,positive,"The Bubble Tea was fun and delicious, with a great tea flavor and chewy bubbles."
Green Tea,4,positive,"The Green Tea was light and refreshing, with a great subtle flavor. It was the perfect tea to drink on a busy day."
Lemon Tea,3,neutral,"The Lemon Tea was okay, but it was a bit too sour for my taste. Maybe I'll try it again with a bit less lemon."
Strawberry Smoothie,5,positive,"The Strawberry Smoothie was sweet and delicious, with a great strawberry flavor. It was the perfect drink for a sweet treat."
Espresso,4,positive,"The Espresso was strong and rich, with a great flavor. It was the perfect coffee to start my day."
Muffin,3,neutral,"The Muffin was okay, but it was a bit too dry for my taste. Maybe I'll try it again with a bit more moisture."
Nitro Black Tea Lemonade,5,positive,"นี่เป็นเครื่องดื่มที่ฉันชื่นชอบที่สุดในเมนู รสชาติของชาและเลมอนแซบๆ เข้ากันอย่างลงตัว และมี泡ที่น่าสนใจด้วย"
Cappuccino,5,positive,"The Cappuccino here is one of the best I've had. The barista really knows how to create a beautiful design on top, and the flavors are well-balanced."
Iced Americano,2,negative,"The Iced Americano was too weak and lacked flavor. I was expecting a stronger coffee taste, but it was just okay."
Thai Tea,4,positive,"สั่ง Thai Tea มาเพื่อดู รสชาติเข้มข้นดี และมีหอมของชาไทยที่น่าสนใจ"
Mocha,5,positive,"The mocha here is amazing! Rich, chocolatey flavor and a perfect balance of coffee and steamed milk. I'm obsessed!"
Thai Tea,3,neutral,"ชอบชาไทยที่นี่ แต่ไม่ค่อยชอบความหวานของมัน ส่วนตัวชอบชาไทยที่ไม่หวานมาก แต่ก็ยังดี"
Croissant,4,positive,"Flaky, buttery, and absolutely delicious! The croissant here is perfect with a cup of coffee or tea. Highly recommend."
Espresso Con Panna,2,negative,"Not a fan of the espresso con panna here. The espresso was over-extracted and the whipped cream was too sweet. Disappointing experience."
Watermelon Smoothie,5,positive,"น้ำสมูทตี้เมลอนน้ำที่นี่เยี่ยมมาก! หวานและสดชื่นผสมกันให้รสชาติเผ็ดร้อนของเมลอน'
Americano,4,positive,"Good Americano, strong and rich flavor. A bit pricey but worth it."
Donut,3,neutral,"Donut here is okay, nothing special. Not too sweet but not too tasty either."
Sandwich,5,positive,"Love the sandwich here! Fresh ingredients and generous portions. Highly recommend."
Cheesecake,4,positive,"The cheesecake is creamy and delicious, but the crust could be better. Still a great dessert option."
Cappuccino,5,positive,"Perfect cappuccino! The foam was silky and the coffee flavor was rich. Will come back for more."
Iced Latte,4,positive,"Refreshing iced latte on a hot day. The coffee flavor was balanced and the ice was crushed perfectly."
Nitro Flat White,5,positive,"The nitro flat white here is amazing! Smooth and creamy texture, and a deep coffee flavor."
Mocha Cold Brew,4,positive,"Love the mocha cold brew! The chocolate flavor was rich and the coffee was smooth. Perfect for a hot day."
Kiwi Smoothie,5,positive,"น้ำสมูทตี้กีวี่ที่นี่เจ๋งมาก! หวานและสดชื่นผสมกันให้รสชาติเผ็ดร้อนของกีวี่"
Black Tea,3,neutral,"Black tea here is okay, nothing special. Not too strong but not too weak either."
Bubble Tea,4,positive,"Love the bubble tea here! The pearls were chewy and the tea flavor was strong. Fun to drink."
Green Tea,5,positive,"The green tea here is so refreshing! Light and delicate flavor, perfect for a relaxing afternoon."
Jasmine Tea,4,positive,"Jasmine tea here is lovely! The floral flavor was delicate and the tea was smooth. Highly recommend."
Yuzu Tea,5,positive,"The yuzu tea here is unique and delicious! The citrus flavor was refreshing and the tea was soothing."
Nitro Black Tea Lemonade,4,positive,"The nitro black tea lemonade here is interesting! The lemonade flavor was balanced and the tea was smooth."
Lemon Tea,3,neutral,"Lemon tea here is okay, nothing special. Not too sour but not too sweet either."
Espresso,5,positive,"Perfect espresso! The flavor was rich and intense, and the shot was pulled perfectly. Highly recommend."
Muffin,4,positive,"The muffin here is delicious! Freshly baked and flavorful, perfect with a cup of coffee or tea."
Cookie,5,positive,"Love the cookie here! Crunchy on the outside and chewy on the inside, and the flavor was delicious. Highly recommend."
Strawberry Smoothie,5,positive,"น้ำสมูทตี้สตรอว์เบอร์รี่ที่นี่เยี่ยมมาก! หวานและสดชื่นผสมกันให้รสชาติเผ็ดร้อนของสตรอว์เบอร์รี่"
Mango Smoothie,4,positive,"The mango smoothie here is delicious! Sweet and creamy, and the mango flavor was ripe and refreshing."
Iced Americano,4,positive,"Good iced Americano, strong and rich flavor. A bit pricey but worth it."
Latte,5,positive,"Perfect latte! The milk was steamed perfectly and the coffee flavor was rich. Highly recommend."
Cappuccino,4,positive,"The cappuccino here is lovely! The foam was silky and the coffee flavor was balanced. Highly recommend."
Thai Tea,5,positive,"ชาไทยที่นี่เจ๋งมาก! หวานและครัมว่าผสมกันให้รสชาติเผ็ดร้อนของชาไทย"
Croissant,4,positive,"The croissant here is flaky and delicious! Perfect with a cup of coffee or tea. Highly recommend."
Espresso Con Panna,3,neutral,"Espresso con panna here is okay, nothing special. Not too sweet but not too creamy either."
Watermelon Smoothie,5,positive,"The watermelon smoothie here is refreshing! Sweet and hydrating, perfect for a hot day."
Americano,4,positive,"Good Americano, strong and rich flavor. A bit pricey but worth it."
Donut,3,neutral,"Donut here is okay, nothing special. Not too sweet but not too tasty either."
Sandwich,5,positive,"Love the sandwich here! Fresh ingredients and generous portions. Highly recommend."
Cheesecake,4,positive,"The cheesecake here is creamy and delicious, but the crust could be better. Still a great dessert option."
Cappuccino,5,positive,"Perfect cappuccino! The foam was silky and the coffee flavor was rich. Will come back for more."
Iced Latte,4,positive,"Refreshing iced latte on a hot day. The coffee flavor was balanced and the ice was crushed perfectly."
Nitro Flat White,5,positive,"The nitro flat white here is amazing! Smooth and creamy texture, and a deep coffee flavor."
Mocha Cold Brew,4,positive,"Love the mocha cold brew! The chocolate flavor was rich and the coffee was smooth. Perfect for a hot day."
Kiwi Smoothie,5,positive,"น้ำสมูทตี้กีวี่ที่นี่เจ๋งมาก! หวานและสดชื่นผสมกันให้รสชาติเผ็ดร้อนของกีวี่"
Black Tea,3,neutral,"Black tea here is okay, nothing special. Not too strong but not too weak either."
Bubble Tea,4,positive,"Love the bubble tea here! The pearls were chewy and the tea flavor was strong. Fun to drink."
Green Tea,5,positive,"The green tea here is so refreshing! Light and delicate flavor, perfect for a relaxing afternoon."
Jasmine Tea,4,positive,"Jasmine tea here is lovely! The floral flavor was delicate and the tea was smooth. Highly recommend."
Yuzu Tea,5,positive,"The yuzu tea here is unique and delicious! The citrus flavor was refreshing and the tea was soothing."
Nitro Black Tea Lemonade,4,positive,"The nitro black tea lemonade here is interesting! The lemonade flavor was balanced and the tea was smooth."
Lemon Tea,3,neutral,"Lemon tea here is okay, nothing special. Not too sour but not too sweet either."
Espresso,5,positive,"Perfect espresso! The flavor was rich and intense, and the shot was pulled perfectly. Highly recommend."
Muffin,4,positive,"The muffin here is delicious! Freshly baked and flavorful, perfect with a cup of coffee or tea."
Cookie,5,positive,"Love the cookie here! Crunchy on the outside and chewy on the inside, and the flavor was delicious. Highly recommend."
Muffin,5,positive,"Absolutely love the muffin here! Soft, moist, and bursting with flavor. Perfect treat!"
Donut,2,negative,"The donut was disappointing. It was dry and the glaze was too sweet. Could be better."
Sandwich,4,positive,"อร่อยมาก! แซนด์วิชที่นี่ทำจากวัตถุดิบที่สดใหม่และรสชาติดีมาก"
Cheesecake,3,neutral,"The cheesecake was good, but not as creamy as I expected. Still a decent dessert option."
Croissant,5,positive,"The croissant is flaky and buttery. Perfect for breakfast or a snack."
Cookie,4,positive,"อร่อยมาก! คุกกี้ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดีมาก"
Americano,4,positive,"The Americano is strong and flavorful. Great for an energy boost in the morning."
Cappuccino,5,positive,"The cappuccino is perfect. Rich coffee flavor with just the right amount of foam."
Espresso,3,neutral,"The espresso was decent, but it could use a bit more flavor depth."
Mocha,5,positive,"อร่อยมาก! ม็อคค่าที่นี่มีรสชาติที่สมดุลระหว่างช็อกโกแลตและกาแฟ"
Latte,4,positive,"The latte is smooth and creamy. Just the right amount of milk and coffee."
Iced Latte,5,positive,"อร่อยมาก! ลาเต้เย็นที่นี่ชุ่มฉ่ำและมีรสชาติที่ดีมาก"
Iced Americano,3,neutral,"The iced Americano was okay. It's a bit too watery for my taste."
Nitro Flat White,5,positive,"อร่อยมาก! นิโตรฟลัทไวท์ที่นี่มีรสชาติที่ดีและลื่นไหล"
Mocha Cold Brew,4,positive,"อร่อยมาก! ม็อคค่าคอลด์บิวร์ที่นี่มีรสชาติที่ดีและลื่นไหล"
Watermelon Smoothie,5,positive,"อร่อยมาก! น้ำสตรอเบอร์รี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดีมาก"
Kiwi Smoothie,4,positive,"อร่อยมาก! น้ำกีวี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดีมาก"
Mango Smoothie,5,positive,"อร่อยมาก! น้ำมะม่วงที่นี่ชุ่มฉ่ำและมีรสชาติที่ดีมาก"
Strawberry Smoothie,4,positive,"อร่อยมาก! น้ำสตรอเบอร์รี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดีมาก"
Black Tea,3,neutral,"The black tea is okay, but it's a bit bland. Needs a bit more flavor."
Thai Tea,5,positive,"ชาไทยที่นี่อร่อยมาก! หวานและหอมน้ำตาลทรายแดงที่สมดุล"
Bubble Tea,4,positive,"อร่อยมาก! บับเบิลทีที่นี่มีรสชาติที่ดีและมีไข่บุกที่นุ่ม"
Green Tea,5,positive,"อร่อยมาก! ชาเขียวที่นี่มีรสชาติที่ดีและสดชื่น"
Jasmine Tea,4,positive,"อร่อยมาก! ชามะลิที่นี่มีกลิ่นหอมและรสชาติที่ดี"
Yuzu Tea,5,positive,"อร่อยมาก! ชายูกุริที่นี่มีรสชาติที่สดชื่นและหอม"
Nitro Black Tea Lemonade,4,positive,"อร่อยมาก! นิโตรแบล็คทีลิมอนเอดที่นี่มีรสชาติที่ดีและสดชื่น"
Lemon Tea,3,neutral,"The lemon tea is okay, but it's a bit too sour for my taste. Needs a touch more sweetness."
Espresso Con Panna,5,positive,"อร่อยมาก! เอสเพรสโซคอนแพนน่าที่นี่มีรสชาติที่ดีและลื่นไหล"
Muffin,2,negative,"The muffin was disappointing. Dry and not as flavorful as expected."
Donut,5,positive,"อร่อยมาก! โดนัทที่นี่มีรสชาติที่ดีและนุ่ม"
Sandwich,3,neutral,"อร่อยมาก! แซนด์วิชที่นี่ทำจากวัตถุดิบที่สดใหม่และรสชาติดี"
Cheesecake,4,positive,"อร่อยมาก! ชีสเค้กที่นี่มีรสชาติที่ดีและนุ่ม"
Croissant,5,positive,"อร่อยมาก! ครัวซองที่นี่มีรสชาติที่ดีและนุ่ม"
Cookie,3,neutral,"อร่อยมาก! คุกกี้ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Americano,4,positive,"อร่อยมาก! เอสเพรสโซที่นี่มีรสชาติที่ดีและลื่นไหล"
Cappuccino,5,positive,"อร่อยมาก! คาปูชิโน่ที่นี่มีรสชาติที่ดีและลื่นไหล"
Espresso,3,neutral,"อร่อยมาก! เอสเพรสโซที่นี่มีรสชาติที่ดีและลื่นไหล"
Mocha,5,positive,"อร่อยมาก! ม็อคค่าที่นี่มีรสชาติที่ดีและลื่นไหล"
Latte,4,positive,"อร่อยมาก! ลาเต้ที่นี่มีรสชาติที่ดีและลื่นไหล"
Iced Latte,5,positive,"อร่อยมาก! ลาเต้เย็นที่นี่มีรสชาติที่ดีและชุ่มฉ่ำ"
Iced Americano,3,neutral,"อร่อยมาก! ไอซ์ดอเมริกาโน่ที่นี่มีรสชาติที่ดีและชุ่มฉ่ำ"
Nitro Flat White,5,positive,"อร่อยมาก! นิโตรฟลัทไวท์ที่นี่มีรสชาติที่ดีและลื่นไหล"
Mocha Cold Brew,4,positive,"อร่อยมาก! ม็อคค่าคอลด์บิวร์ที่นี่มีรสชาติที่ดีและลื่นไหล"
Watermelon Smoothie,5,positive,"อร่อยมาก! น้ำสตรอเบอร์รี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Kiwi Smoothie,4,positive,"อร่อยมาก! น้ำกีวี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Mango Smoothie,5,positive,"อร่อยมาก! น้ำมะม่วงที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Strawberry Smoothie,4,positive,"อร่อยมาก! น้ำสตรอเบอร์รี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Black Tea,3,neutral,"The black tea is okay, but it's a bit bland. Needs a bit more flavor."
Thai Tea,5,positive,"ชาไทยที่นี่อร่อยมาก! หวานและหอมน้ำตาลทรายแดงที่สมดุล"
Bubble Tea,4,positive,"อร่อยมาก! บับเบิลทีที่นี่มีรสชาติที่ดีและมีไข่บุกที่นุ่ม"
Green Tea,5,positive,"อร่อยมาก! ชาเขียวที่นี่มีรสชาติที่ดีและสดชื่น"
Jasmine Tea,4,positive,"อร่อยมาก! ชามะลิที่นี่มีกลิ่นหอมและรสชาติที่ดี"
Yuzu Tea,5,positive,"อร่อยมาก! ชายูกุริที่นี่มีรสชาติที่สดชื่นและหอม"
Nitro Black Tea Lemonade,4,positive,"อร่อยมาก! นิโตรแบล็คทีลิมอนเอดที่นี่มีรสชาติที่ดีและสดชื่น"
Lemon Tea,3,neutral,"อร่อยมาก! ชามะนาวที่นี่มีรสชาติที่ดีและสดชื่น"
Espresso Con Panna,5,positive,"อร่อยมาก! เอสเพรสโซคอนแพนน่าที่นี่มีรสชาติที่ดีและลื่นไหล"
Muffin,2,negative,"The muffin was disappointing. Dry and not as flavorful as expected."
Donut,5,positive,"อร่อยมาก! โดนัทที่นี่มีรสชาติที่ดีและนุ่ม"
Sandwich,4,positive,"อร่อยมาก! แซนด์วิชที่นี่ทำจากวัตถุดิบที่สดใหม่และรสชาติดี"
Cheesecake,3,neutral,"อร่อยมาก! ชีสเค้กที่นี่มีรสชาติที่ดีและนุ่ม"
Croissant,5,positive,"อร่อยมาก! ครัวซองที่นี่มีรสชาติที่ดีและนุ่ม"
Cookie,4,positive,"อร่อยมาก! คุกกี้ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Americano,5,positive,"อร่อยมาก! เอสเพรสโซที่นี่มีรสชาติที่ดีและลื่นไหล"
Cappuccino,4,positive,"อร่อยมาก! คาปูชิโน่ที่นี่มีรสชาติที่ดีและลื่นไหล"
Espresso,3,neutral,"อร่อยมาก! เอสเพรสโซที่นี่มีรสชาติที่ดีและลื่นไหล"
Mocha,5,positive,"อร่อยมาก! ม็อคค่าที่นี่มีรสชาติที่ดีและลื่นไหล"
Latte,4,positive,"อร่อยมาก! ลาเต้ที่นี่มีรสชาติที่ดีและลื่นไหล"
Iced Latte,5,positive,"อร่อยมาก! ลาเต้เย็นที่นี่มีรสชาติที่ดีและชุ่มฉ่ำ"
Iced Americano,3,neutral,"อร่อยมาก! ไอซ์ดอเมริกาโน่ที่นี่มีรสชาติที่ดีและชุ่มฉ่ำ"
Nitro Flat White,5,positive,"อร่อยมาก! นิโตรฟลัทไวท์ที่นี่มีรสชาติที่ดีและลื่นไหล"
Mocha Cold Brew,4,positive,"อร่อยมาก! ม็อคค่าคอลด์บิวร์ที่นี่มีรสชาติที่ดีและลื่นไหล"
Watermelon Smoothie,5,positive,"อร่อยมาก! น้ำสตรอเบอร์รี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Kiwi Smoothie,4,positive,"อร่อยมาก! น้ำกีวี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Mango Smoothie,5,positive,"อร่อยมาก! น้ำมะม่วงที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Strawberry Smoothie,4,positive,"อร่อยมาก! น้ำสตรอเบอร์รี่ที่นี่ชุ่มฉ่ำและมีรสชาติที่ดี"
Black Tea,3,neutral,"The black tea is okay, but it's a bit bland. Needs a bit more flavor."
Thai Tea,5,positive,"ชาไทยที่นี่อร่อยมาก! หวานและหอมน้ำตาลทรายแดงที่สมดุล"
Bubble Tea,4,positive,"อร่อยมาก! บับเบิลทีที่นี่มีรสชาติที่ดีและมีไข่บุกที่นุ่ม"
Green Tea,5,positive,"อร่อยมาก! ชาเขียวที่นี่มีรสชาติที่ดีและสดชื่น"
Jasmine Tea,4,positive,"อร่อยมาก! ชามะลิที่นี่มีกลิ่นหอมและรสชาติที่ดี"
Yuzu Tea,5,positive,"อร่อยมาก! ชายูกุริที่นี่มีรสชาติที่สดชื่นและหอม"
Nitro Black Tea Lemonade,4,positive,"อร่อยมาก! นิโตรแบล็คทีลิมอนเอดที่นี่มีรสชาติที่ดีและสดชื่น"
Lemon Tea,3,neutral,"อร่อยมาก! ชามะนาวที่นี่มีรสชาติที่ดีและสดชื่น"
Espresso Con Panna,5,positive,"อร่อยมาก! เอสเพรสโซคอนแพนน่าที่นี่มีรสชาติที่ดีและลื่นไหล"
